"Silicon Institute of Technology, Bhubaneswar",,,,,,,,,,,
"Foundation of VLSI, Summer Internship ",,,,,,,,,,,
Jan 2022,,,,,,,,,,,
,,,,,,,,,,,
Sl,IDNo,Name,Dept,Phone,email,username,homeDir,skelDir,quotaM,groups,description
2,FES100000,Santunu Sarangi,IEI,9348214035,santunu.sarangi@silicon.ac.in,ssarangi,/home/nfs1,/etc/skel,6000,localsim/pvolta/ptesla/pampere/ptraining,Faculty
3,FES100001,Prasant Swain,ECE,9583400570,prasant.swain@silicon.ac.in,pswain,/home/nfs1,/etc/skel,1000,localsim/pvolta/ptesla/pampere/ptraining,Faculty
7,Lab2,VLSI Lab2,VLSI,8887779999,vlsi@silicon.ac.in,vlab2,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab2
7,Lab3,VLSI Lab3,VLSI,8887779999,vlsi@silicon.ac.in,vlab3,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab3
7,Lab4,VLSI Lab4,VLSI,8887779999,vlsi@silicon.ac.in,vlab4,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab4
7,Lab5,VLSI Lab5,VLSI,8887779999,vlsi@silicon.ac.in,vlab5,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab5
7,Lab6,VLSI Lab6,VLSI,8887779999,vlsi@silicon.ac.in,vlab6,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab6
7,Lab7,VLSI Lab7,VLSI,8887779999,vlsi@silicon.ac.in,vlab7,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab7
7,Lab8,VLSI Lab8,VLSI,8887779999,vlsi@silicon.ac.in,vlab8,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab8
7,Lab9,VLSI Lab9,VLSI,8887779999,vlsi@silicon.ac.in,vlab9,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab9
7,Lab10,VLSI Lab10,VLSI,8887779999,vlsi@silicon.ac.in,vlab10,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab10
7,Lab11,VLSI Lab11,VLSI,8887779999,vlsi@silicon.ac.in,vlab11,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab11
7,Lab12,VLSI Lab12,VLSI,8887779999,vlsi@silicon.ac.in,vlab12,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab12
7,Lab13,VLSI Lab13,VLSI,8887779999,vlsi@silicon.ac.in,vlab13,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab13
7,Lab14,VLSI Lab14,VLSI,8887779999,vlsi@silicon.ac.in,vlab14,/home/nfs2,/etc/skel,500,localsim/ptraining,Trainin Lab14
